id,concat_comments
711483427,Floor is sticky and bathroom wall has stains 
710079012,There was an earring on the floor next to the bed as well as food residue on the cabinet fridge handles  which made me question the thoroughness of the clean between guests  Especially now during the pandemic  when cleanliness and disinfection is paramount  it was disappointing 
672418662,Floor was very dirty when I came in and bathroom had bugs
708200472,A few here and there from hairs to a very strange smell when I first arrived  
708066603,stainless steel appliances had not been wiped  Walls need to be wiped as well  The floor could have used a mopping as well  The toiletries were helpful but not as clean as expected 
722602303,when i went in the restroom the shower was not clean or the toilet i had to clean it before i used it     in the kitchen there was a dirty towel hanging from the stove
722199816,Hair all over couches living room chairs  hair in sinks and showers  bed comforter stained  sheets and pillows also did not look washed 
722016387,Nothing terrible but it looked like the place hadn t been vacuumed in a little while
721970896,Dirty shower curtain
613224745,The floors were dirty as well as the bathrooms
719199265,There were hairs in the bed and shower  the ceiling fan in the bedroom didn t work  the lighting in the bathroom is horrible  the dishwasher had an awful smell and could smelt while sitting on the couch  there were fake finger nails broken on the side of the bed on the floor and crumbs in the bed  The lock on door was broken and we had to stick it back onto the door to make it work properly  It took us    minutes to figure out that was the problem  The location is great though 
719145719,Overall clean  Small details like soap marks on dishes  dirty empty bathroom garbage can and mold on bottom of shower curtain  barely noticeable however  Sheets were clean and the place was tidy 
598695634,Just lots of marks in surfaces   dust and dirt on floor from construction 
717218010,Few hairs on the floor and in the toilet when we got there
637453214,Sofa was very dirty  hair  candy wrapper  stained  Kitchen was not clean  fridge smells  microwave splatters all over inside  oven handle and front is sticky  Tons of dead bugs in window sills 
146736842, Spare linens had hair in it 
714275332,Significant amount of mildew on the bottom of shower and carpet is very soiled
714101701,The entire place had a really musty smell like body odor had to buy a bunch of candles and air fresheners
713311190,Laundry Room   great deal of dryer lint that need deep clean at base of units and behind 
711847785,The apartment was nice but didn t appear to be recently clean thoroughly 
711623269,We totally enjoyed our stay at your facility but when we went in there was Band Aid reference in the floor use Q tips and lots of dirty nasty food stuck to this counter and sink Im not complaining I just thought you should know
604567368,Dirty floors
595098726,Floors looked like they needed swept mopped 
710070608,The apartment was very clean  Only issue we found  there was a little mold in the shower 
709886205,Carpet was not vacuumed  I went to do a floor workout and there was so much hair and stuff on the carpet that it stuck to my shirt  There was also   lightbulbs out    Other than that it was great 
424006464,There was just a lot of holes and cracks in the walls in the bedroom but everything else was fine
707911689,Messy kitchen with dishes and food in the sink and dirty dishes in the dish washer
629705404,washer was dirty   and chairs on island were a bit dirty  sham pillows were a little dusty 
582172033,We were surprised bu several aspects of cleanliness  First  even though it was not necessarily dirt  all of the main windows still had half scraped construction labels on them and none of the exterior glass had been clean in quite a while  The floors which the owner made a point to ask us to take our shoes off for  had not been clean very well at all  Visible dust and dirt along the walls  The most unacceptable though was food debris on the dining room table  I have pics of all of this if you would like 
526211512,There were marks on the walls throughout the space and the base boards throughout were dirty 
589152967,Bathroom floors were dirty urine residue on bottom near toilets and tile floors were dirty with residue not mopped  Kitchen stainless appliances were smeared all over 
710988449,Paint splatters  resin drips  and something I hope was pizza sauce smeared on the walls 
452105296,Lots of dust everywhere  Especially on the floors
229034481,Your guest suggested that your space could be cleaner in the following areas  towels and linens  bathroom  floors and carpet  shower  Additional comments   Hab a cabellos en el piso del ba o  en las s banas y en toallas  yo creo que la persona que hace la limpieza no la hace bien  
182471532,Your guest suggested that your space could be cleaner in the following areas  dust  floors and carpet 
622643185,Floor was not mopped  socks under the couch  opened water bottles in the bedroom closet  crumbs on countertop  dirty kitchen trash can  bottom of toilet bowl dirty  stain on couch  dirty ceiling in bedroom  carpet not vacuumed  stainless steel not clean
618646190,Smell  sewage 
706262267,Noted that this place is huge and thus it didn t bother me too much  Most areas are clean
419171325,Towels weren t all clean  Some had spots  others hard hair in it
709619727,The shower curtain had bits of hard soap clinging to it and the bathroom in general was not clean  The kitchen had dirty countertops and the kitchen floor was quite dirty 
709154835,Crumbs on the counter  Weird smell coming from bathroom 
501312617,Das haben wir schon alles ganz offen besprochen 
584018425,Our room wasn t clean upon arrival due to a mixup with the clean service  Zencity accommodated by extending our checkout by the amount of time the clean staff was there upon arrival    We didn t have enough towels for our stay but laundry soap was provided  Basic soaps for dishes and bath were provided 
627461356,there was broken glass cup in the kitchen  the sink became stopped up and had the entire floor wet 
434780854,A slight issue with the dishwasher but nothing big 
413506403,sheets did not appear to be clean
412440224,It was EXTREMELY dusty at this location  Looked like it hadn t been dusted or clean in months  Everything was neat and tidy  but the dust was really bad  Gladly there was a mop  broom and a vacuum cleaner  Thankfully I carry tools on me as well because the vacuum cleaner was literally jam packed with dust  Once I clean out all the dust I was able to clean up even more dust that was embedded into the carpets  Place looks clean now though  Pretty sure the new visitors will enjoy a clean and comfortable space       
643668067,There was an open bottle of water that was     empty with no lid  sitting on the counter 
643035881,Unit had a  wet straw  barn like smell  Mold on bathroom base boards  Sent email to Zencity manager  did not respond during stay 
700614644,There were handprints all over the walls in the bedroom  and the furniture in the living dining room was very worn and looked dirty  It also smelled like chemicals  and not in the clean way   The host did not acknowledge any of this when I reached out  I even sent pictures of the handprints  they were that obvious  
580502375,Construction dust everywhere  Shower stall had hair in it  freezer had some old food dripped in there and wasnt clean  One of the kitchen chairs had food or something rubbed on the leather part where u sit 
625245065,The common area couch had all kind of left food particles and the bathroom had was not swept  We just found food under the air condition 
714957740,There was an insect in my bed that I had to kill 
428631482,There was food left over in the dirty refrigerator  The bathtub was covered in hair  The floors had not been swept and the rug had not been vacuumed 
580439912,One of the bathrooms were super clean but the other had hair all over the floor  The rest of the space was quite clean 
709497704,Hair  dust and dirt
619710114,None of dishes were appliances were clean and had actual dirt in bowls and cups 
618579983,Corners of walls had noticeable dust and dirt  Strange sewage type smell lingered from closet area    perhaps from water mains  
572981534,The apartment had just finished renovation  There was a little dust and it looks like someone used the toilet and forgot to flush 
592164656,Some mold around shower 
572368951,Dust on countertops and stains in sink  Very minimal  but not as clean as a hotel 
571849973,When I arrived to the apartment there was a water bottle full of paint water in the sink  While I understand that the entire building is under construction this was disappointing  Furthermore  when someone came to inspect the lock and why it was not working  there were no batteries   they took away the trash can that had been in the apartment   so I had to place all trash in the tiny bathroom trash can 
580901909,There weren t dust bunnies all over the floor in the living and bedrooms  the closets were dusty  there was hair all over the bedding and towels  and the rug in the loving room was filthy  The shower curtain smelled bad  We ended up vacuuming  bought new shower curtains  Swiffer sweepers  and Clorox wipes  and clean ourselves 
401061333,Shower
580393993,Was something on the bathroom floor
616042470,Crumbs all over counter i had to wash to get a clean face cloth
618602674,Kitchen pots and pans were not clean  One pan in particular had been left in the oven and was covered in grime 
597125185,Bed had some hair on it
594447134,Hi there the space we stayed in had a few small issues  One was the couch looked like it had never been vacuumed under or behind any cushions  One of the guests was told he could sleep on the couch but it was very dirty  We tried vacuuming but the vacuum is old and weak  I recommend a new better vacuum for the space and maybe a couch upgrade 
591609228,Biggest issue was the sink in the bathroom  which really didn t seem like it had been clean at all  The seats in the common area were also stained  which was a little off putting 
590470777,The bed had some hair on it as well as the pillows  There was also a yellow stain that was on the bed spread  We had to wash the blanket with our own money  We also had to travel to another building just to buy a    card to do the laundry  On top of that        to wash the actual blanket in our own building 
590092549,Toilet not clean properly
586273846,Tub was clogged  Comforters had bloodstains and dirt on them 
571983578,While the apartment itself was very clean  there were no supplies with which to wash and dry dishes 
563978116,Old and scratchy place   Greasy black layer on the middle window frame next to the oven   With the first look  looks like dead flys all over on that frame  but happen to be old black pieces from falling apart sponge   Greasy ventilation outlets  some of them broken   Unpleasant smell coming from old and broken coach   Heavy and stale air  unhealthy and damaging my lungs  Second bedroom is with a penetrated hole  look from inside of the room  unpainted  scratches etc 
561429598,Some stray hairs in the bathroom  a pretty unpleasant smell in the building and the room  building was shabby and felt unsafe 
555353754,The bathroom shower curtain liner was caked with pink mold along the bottom  There was no actual shower curtain  just the liner   The bedroom was dusty under the bed  heater  and in the corners  including a layer of dust on the fan  There was no tea kettle  so I tried to heat water in the coffee maker  only to discover the bottom of the pot was cracked and unusable 
554599567,Hair on pillows   floor
554079618,carpet was so dirty left dust on clothing when sitting on the floor  both beds had stains and hair on linens  the shower hasn t been clean in months at least and had several used bars of soap inside which is nasty
548402981,               
546579271,Needs a good deep clean  Walls need scrubbing and so does the vent  Also seemed like the cleaners didnt bother to get underneath the bed  which is super visible since the bed frame is high off the floor
544234880,Dust under the bed  crumpled bedsheets with hair on them  living room carpet and sofa are seriously dirty 
669171326,It was hair left on the shower wall
569155597,Carpet was very dirty
536412666,I can t say because I wasn t there 
536360294,Bathroom floor was dirty  shower was not clean and the bed sheets had foot prints and hair on them   
530419563,The bathtub had water in it and dirt in it  The tub drain was clogged  It was disgusting 
523025555,Baseboards were dusty  Human hair found on floor and walls of bathroom upon arrival 
522761898,Patio area in the back had furniture cushions that had mold due to rain 
505615834,The sofa was dirty  Looked worn  He throw blanket draped over the sofa corner was very musty smelling   Dead flies and other insects in window well in kitchen 
503780622,There was all sorts of hair and dust on the top half of the bathroom door  It was disgusting  There was hair in the bathroom sink  There was an old  used band aid stuck to the bathroom shelf  The bathtub did not drain  The kitchen stove was splattered with food  The glasses in the cupboard were wet and dirty  The ceiling fan did not work  The kitchen and the bathroom walls were filthy and desperately needed to be clean or painted  The paint was peeling off the ceilings  Etc 
497470868,Leftover trash was not completely cleared out from the previous guest  One of the cabinets was filled with alcoholic beverage containers  Everything else in the house was extremely clean 
572682151,The place had not been clean in between guests  There was a used wash cloth hanging in the bathroom with someone else s soap  food smashed into the carpet in the living room and the kitchen appliances  microwave with food splatter everywhere and leaked food in the bottom of the fridge  were disgusting  The smell required us to keep the windows open the entire time we were there 
495791380,The shower curtain has some mold growing on it 
494575697,Sofa in living room is pretty dirty  Didnt even want to sit on it    Also lingering odor  possibly because its an old building 
491787180,It was pretty clean  The shower head had what looked like calcium deposits on it 
490442458,The bathroom needs mantainance and they need a new couch is super uncomfortable even for sitting there and even more for sleeping there  Besides it smells bad
488825132,Bathroom sink had not been properly clean  There were brown spots under the items on sink  This was a clear indication that thorough clean hadnt been done inside the bathroom  However there was PLENTY clean supplies and I was able to clean myself  I actually left the dirty rag I used so you could see how many crevices had been overlooked 
484378238,Food in the microwave from previous guests  which wasnt a big deal but also suggested that it hadnt been clean out between stays 
480878800,Sheets needed clean  Found a few hairs that weren t mine in the bed 
479339807,There was a giant hole in the ceiling in the kitchen  Every single drawer in the entire place was peeling grossly   to the point where we wouldnt put anything in them  There were bugs in the whole apartment 
423633241,The sheets in the bedroom were stained and appeared unclean  There were used wash clothes in the bathroom  There were stains inside the cupboards and there was expired meat in the freezer  The living room was filthy with crumbs and dirt everywhere  Inside of the fouton there were crumbs and fingernails within the cracks as if it hadn t been clean for quite a while  My friend and I bought many clean supplies and had to clean in order to feel comfortable staying in the place 
470048099,It looked like everything was clean on the surface  but we had to give the shower and toilet a good scrub  There were crumbs on the sofa  and we had to wash all the plates and cutlery 
464023993,Facts     Found a dead cockroach in bedroom     Found little black hairs all over bathtub  which was eroding  and black hair in freezer     Floors wore filthy  do not walk barefoot in there     The fridge was disgusting with leftover food and what looked like fresh spilled kool aid stains everywhere    We complained  they came into the apartment while we were away WITHOUT OUR COSENT to  re clean   We returned to the same exact cockroach and kool aid stains  The only difference was now the place had a horrible smell of chemical cleaners  we couldnt breathe and had to open all windows and leave for quite a while     The water was BROWN coming out of the pipes when we initially turned on the bath water   awesome 
463105552,Hair everywhere  Dishes in cabinets were dirty  Shower was dirty and clogged with hair and it turned into bath  Hair in the bed as if the sheets weren t clean  I immediately contacted the company after my upsetting observations and they offered to have someone come and clean  but I refused due to my short stay and not being comfortable with my belongings unattended because I was gone for the day  Very dissatisfied for the amount I paid for a dirty space and would like to be waved the clean fee because I came into a space that wasn t clean at all  Hair was on my clothes and in luggage when I returned home from travels 
460238714,Rug stained and had food and fingernail clippings  sofa completely worn out  dirty coffee maker and stove top  hair in bathroom  extra linens stained
566246496,No idea   The lobby was fine 
366898165,The dishwasher was still loaded with dirty dishes  which gave the impression that there were not enough dishes in the unit   There was broken glassware in the cabinets  and dried spills in the bathroom that tracked throughout the apartment 
347130369,Hair all over the bathroom floor  in the tub  Had not been clean recently   Hair of all kinds in bed and bugs on the floor 
335990209,Light fixtures are really dusty  And there are few outlets so tangled of extension cords wrap around the old steam radiator which gets very hot thus creating a potential safety hazard as those cords make contact with the hot radiator 
332195580,there was a lot of dust almost in the whole building 
330406480,There was a leak or some sticky substance by the trash can which was still wet and food left in the fridge 
323453574,I think this is a building issue that is not your fault and should be brought up with your landlord  but I saw cockroaches on all occasions that I was awake past   AM 
309110351,Dirty dishes in the dishwasher   The stairs are full of stains and there were dead insects in the stairs and living room 
305088132,Kitchen and bathroom both were a bit dirty  
295976164,The bathtub was backing up from the day we got there  The final day was terrible as I had to use the plunger to drain the tub  When plunging  a bit of dirt was coming up  I used the Drain O I found under the kitchen sink  but it was not effective  May need to use a snake to clean out the pipes  Recommendation is to put a mesh to catch all the hair and crud that could plug up the tub in the future  
286202203,Your guest suggested that your space could be cleaner in the following areas  bugs  towels and linens  Additional comments   The extra blanket in the closet was dirty and had stains on it   
276369295, Apartment was clean  but when we went to use the glassware they all had figure print and lip marks   
269680133,Bathroom shower needed a new shower curtain and had some mold spots on the walls ceiling that could of been clean better 
252433934,Your guest suggested that your space could be cleaner in the following areas  floors and carpet 
248453663,Your guest suggested that your space could be cleaner in the following areas  towels and linens  odors  Additional comments   You may want to check with the building as the entryway from the lobby to the elevator and the hallways smell terrible this may be a deterrent to future guests   
239192448, Shower wasnt as clean as I would have liked    
224592178,Your guest suggested that your space could be cleaner in the following areas  common areas  Additional comments   A little dusty   no big deal   
218416067,Your guest suggested that your space could be cleaner in the following areas  bathroom 
192928879,Your guest suggested that your space could be cleaner in the following areas  bathroom  shower  floors and carpet  Additional comments   Unforutnaly the whole place was a little grimy  even saw a couple of bugs in the bathroom   Lots of cobwebs and dust on the floor   
173691007,Your guest suggested that your space could be cleaner in the following areas  floors and carpet  shower  dust  bathroom  kitchen 
164288123,Your guest suggested that your space could be cleaner in the following areas  odors  shower 
159769196,Your guest suggested that your space could be cleaner in the following areas  towels and linens  dust  odors  bathroom  kitchen  Additional comments   The residence was not up to the cleanliness standards to be expected for the price  The elevator was not functional  causing us to hike luggage up five flights of stairs  We have multiple pictures of stains on the walls  dirt and grime in the refrigerator  
155112720,Your guest suggested that your space could be cleaner in the following areas  bathroom  shower  towels and linens  Additional comments   There were no washclothes in the bathrooms  also only one dish towel in the kitchen  made it difficult to do the sishes  
153995454,Your guest suggested that your space could be cleaner in the following areas  towels and linens  Additional comments   Towels thrown on floor of closet    
150256451,Your guest suggested that your space could be cleaner in the following areas  floors and carpet  bathroom 
590797203,There was hair in the tub around the fixtures 
96588694,I sent you a list of these issues  Hair in the bathroom  hair on the bed sheets  pee stains on the bedsheets  dirty walls and doors  
94139776,The bathroom is not as clean as it should be  The bathtub in particular is in bad need of Comet and elbow work   The shower curtain is stained with mold  There were only two towels  albeit clean  but not to the standards I would expect for an Airbnb   The rooms carpet is old and needs better care   The kitchen and living room space are ok 
91424776,Apartment was dirty  Cleaning team did not come until hours after our  pm check in  Even after the clean team came  the sheets and towels were dirty  Bathroom and floors did not seem clean either 
80979974,There was long black hair all over the floors and in the shower  Neither my wife or I have black hair  so I am assuming the space was not clean before we arrived  Floor in kitchen near sink was sticky 
62123258,""
710264371,Bathroom still had trash from last guest an shower had dust an hair in it an toilet still had poo an paper in it  Wouldnt blame zencity as a whole  But they need new housekeeping for sure 
709601454,Stains on bed covering 
618137059,Dirty towels and refrigerator 
700423059,Dirty sheets on the bed  Flat sheet had crumbs of food  Top comforter had different sauces crusted on it  Faint cigarette smell on the sheets and pillows 
669386267,The overall unit was very clean  A few items could be improved to make the unit top notch  Comforter cover is soiled  Shower curtain has mold along the bottom edge  Some sections of Living room curtains are hanging off the railings 
569779036,Dirty plates left in cabinet and hairs left in the bathroom
668706993,Outdoor furniture
626692727,There were stains on the bed sheets and carpet  and there was clearly stuff on the floors and couch pillows that hadn t been clean 
627576287,there was a lot of dust especially around the windows and blinds
614909576,Top of fridge looked like hadnt been clean in months  A piece of  something   was on the baseboard by the couch lamp  Other than that  impeccable 
669413008,Sink kept backing up and did not get fixed until an hour before i was leaving 
569188125,There were quite a few various stray hairs in the wall of the shower and base of the tub  There was construction debris in the entrance hallway  I believe the washer and dryer were installed they failed to clean up the dust left behind 
613215318,It appeared that the clean service skipped over the bathrooms  Also  the refrigerator was leaking   Although there were some clean issues  management compensated for this by allowing a very late checkout  Overall we worked with each other to find a happy medium 
613359193,Floor looks not clean for long long time  liquid spill markings in number of places over the laminated floor areas  white chalk like powder by the basebords  totally dirty all over the appartment  carpet in bedrooms not vaccumed  old spilled liquid residues in the fridge  glass or coffee cup rings on the countertop  old toothpaste markings on the bathroom sink area  dirty kitchen sink area  dirty utensils 
647413507,Toilet seat is filthy and needs to be replaced 
643410720,There was a little garbage left on the floor when we entered  I m sure it was just dropped from the clean service otherwise good 
628282353,Attention to detail 
627998246,The walls need a clean  there was gunk in the bathroom and the carpet needs a clean around the floor boards  The balcony was extremely sticky  As well as in the kitchen there was food in the freezer and the trash can had gunk around the lid  Lastly  there were stains on the comforters  Not to say the stay was awful due to this  I just wanted to bring it to your attention  because although it didn t totally bother me  it could someone else  And I assume it is someone else taking care of clean the stay other than the hosts 
633348077,Refrigerator was not clean 
647381113,Some towels didn t smell clean   smelt like cigarettes 
592695957,There was hair everywhere  Food on the floors  in different area of the home    cereal  pizza crusts  crackers   Streaks in the toilet  urine and toilet paper in the other unclean bath   Comforters were filthy   Spider webs hanging in very visible places  The was old food and drinks left in the refrigerator  Floors hadn t been swept or mopped 
566534978,Hair in the bathtub  Otherwise very clean 
619220055,I don t know where to start  I walked in the door  eyes heavy  legs stiff  with hopes of going straight to bed  However I choose my room  put down my bags  walk over to the bed  and I saw the most despicable thing on what was supposed to be a freshly made bed    A HAIR  I begin to inspect the rest of the room  long story short there were chips crumbs in the carpet  Also hair all over the rest of the bed  and might I add all the hair was a different color and texture  There was piss all over the bathroom floor  so I guess you could say this pissed me off  I made my boyfriend clean it up  he then got pissed off with me  While he clean the forsaken piss  I proceeded to inspect the rest of the apartment  I walk in the living room and you ll never guess what I discovered   A HAIR  I also found more of what I presumed to be Doritos from the bed and dust bunnies  Luckily I found a candle under the sink to take away the OVERPOWERING miasma of what I believe to be marijuana  Needless to say the cleanliness of your establishment is why I declare this apartment highly inadequate 
571923733,We purchased clean supplies and clean due to guests who had considerable mold allergies 
360471410,It s was an very strong sewage smell that came about every so often 
572007068,Beautiful tub in the masters suite  however the window over the tub could use clean   paint and an upgrade 
628262784,hallways dirty someone had gotten sick all over the hallway floor
628325212,Really the only major issue were the flies and gnats  Unfortunately there were several throughout kitchen and bedroom 
647368223,Tub in bathroom needs to be scrubbed and bleached
623266665,They charged me for a clean fee and I never used the place
648358224,shower curtain smelled musty  needs replacing  Need vacuuming under the couch   strewn with various pieces of garbage  kid toys  etc  Building in general has a slightly unpleasant odor to it
618603052,kitchen sink had dried food particles fingernail clipping on floor general unclean floor lint on furniture hair in bathroom on floor  toilet  sink  and shower common areas of the hotel were very dirty   in need of vacuuming  painting  clean
628678894,Dirty utensils  hair in the drawers
649028024,There was a little bit of mold in both the shower window  and when I opened the dishwasher I saw a large amount of mold growing on the dishwasher door 
673440870,Staining on the bed comforters  Not sure the sheets were changed in one room  They smelled like men s aftershave 
627116132,Needing head what appears to be a makeup stain on it  Which made me more uncomfortable than not being clean 
627670802,The ceiling around the vent area leaked the whole entire time
704901243,There were dust bunnies in the corner and long black curly hairs in the bed and on the floor 
616005143,Bathroom cleanliness left quite a bit to be desired  The floor looked as though it had not been swept  I swept it with the provided broom not long after arriving and there was quite a bit of dirt hair TP bits etc    the shower walls tub had clearly not been wiped down  I wiped it down with provided cleaner and rag   and the toilet rim had very obviously not been wiped down  dust  urine drips  etc  were clearly present   The rest of the apartment appeared to be very clean 
621358562,Your guest suggested that your space could be cleaner in the following areas  odors  Additional comments   Mainly in the hallway to the apartment   
640107683,There looked to be some sort of peanut and other debris under the couch and overall debris in the living room and kitchen they seem to have not been clean it quite a while
710766159,The fans and trim were really dusty  and there were hairs on the shower and sink
616998993,There was a couch left right outside the door    looked a little run down  Not what I expected 
190586362,Your guest suggested that your space could be cleaner in the following areas  dust  floors and carpet 
664440253,Floors were not mopped  Big stain on rug  Soap on shower wall  Sheets STINKED  I know those sheets and comforter were not changed 
646422186,Mold in the ceiling in one of the bedrooms  and dust on the blinds around the home 
623939793,The home was not freshly clean upon arrival  It felt eeeky   The bathroom smelled like a sewer  The carpet was dirty  The place felt dusty  The couch was awful  Full of stains  I didn t stay my first night  So I lost my money  I told zencity about these things  They did not refund my first night  However they did send someone to clean the unit the second day and it was much better after that  Except the couch just needs to be replaced 
616467131,I have photos   video footage of how the place was when I checked in  I had   clean up myself   I still didnt sleep in the bed  The doorman that checked me in even had   take the trash out when I checked in bcuz It was full  I even purposely poured sunflower seeds on the floor under the chair that was there and I went back in the unit the night after I checked out due   my wallet missing and after the clean lady left   guess what was still there   Sunflower seeds  under the chair    Besides these units being unclean bcuz I had   different units    I will NEVER rent from them again  my wallet seemed to magically disappear when I was the only   in the unit besides the clean lady   Thats not even the half of it     Way   much   write but I will say I spoke to  of the owners of Zencity by the name of Marty and he didnt help the situation at all  He didnt even care  Told me hell call me back and a week later I still hadnt gotta call back so I called him and he didnt even care  remember who I was    And the Way he was talking  me really pissed me off  I have also told my family   friends to stay away from Zencity properties as well 
645256351,The bathroom contained the biggest issues  The drawers were full of hair  the shower still had hair both in it and on the wall  and there was a used towel hanging on the shower curtain rod  The comforter on the bed had hair on it as well  Upon mentioning our concern to the host  the host offered to send someone to clean  However  no one ever came 
669905030,Still had a great time and would love to come back 
627862021,Some towels left in the hamper  trash was not taken out and there was a slow drain in the sink
619857115,Curly hairs on the bathroom floor  sheets had an old stain on them  Other than that  everything was sparkling clean 
703760845,bugs noticed to crawl behind crevices behind bathroom walls and kitchen counters  bathroom and closet wafted of marijuana at specific times of the day  and unfortunately my Louis Vuitton Keepall brought this aroma home with it
514116931,There were several very long hairs throughout the bathroom  in the shower  sink  and around the toilet  My partner and I both have short hair so it must have been left by someone else  Also  I found broken glass next to the bed 
650177993,The water tasted off 
621537820,The place was clean upon arrival  however  due to roof construction for the first   days  small debris and dust regularly fell from the walls and ceiling onto the floor  becoming a daily chore that I had to clean up 
348035318,The apartment had not been clean thoroughly  Laundry behind the drapes  a panful of food in fridge and old bread in cabinet 
626826592,The entire apartment smelled like cigarette and or marijuana smoke when we checked in   We notified the manager   Zencity   who basically shrugged their shoulders and did nothing   Their first response was to look for clean supplies under the kitchen sink  and there were not any there that might have helped    We found the packaging for an air filter and  smoke trapping ashtray  in a kitchen cabinet  so putting   and   together a smoker had been staying there   Zencity appartently did nothing to get rid of the smell before we arrived  in spite of the prominent notice in the apartment that no smoking is allowed and there is a      extra clean fee for smoking   We left the windows open day and night and it did reduce the odor but did not get rid of it   That led to other problems because the weather was rainy and variable and it was hard to keep the apartment at a livable temperature   And for   nights there were people partying on the building roof above us very late  so we could not keep the windows open because of the loud noise   By the way  there are big signs on both rooftop entrances saying that area is closed  but that apparently did not stop groups of heavy drinkers on   nights   We sent an email to  Zencity asking them to consider refunding     of our total charges  and the their answer has been   silence 
669413907,Hair in toilet and on the toilet seat  Hairs in bed  dirty marks on tables and spots on couch  The stove also had big dirt spots and dishes in the cabinet that were supposed to be clean were wet and dripping with water 
630079416,The refrigerator has some residue of dried liquid 
